[ 2026-02-21 19:24:02,824 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-02-21 19:24:03,890 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-02-21 19:24:04,908 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-21 19:24:04,912 ] 107 dagshub - INFO - Accessing as SUBHRANILGHOSH07
[ 2026-02-21 19:24:05,961 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/SUBHRANILGHOSH07/networksecurity "HTTP/1.1 200 OK"
[ 2026-02-21 19:24:07,015 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-21 19:24:07,016 ] 107 dagshub - INFO - Initialized MLflow to track repo "SUBHRANILGHOSH07/networksecurity"
[ 2026-02-21 19:24:07,017 ] 107 dagshub - INFO - Repository SUBHRANILGHOSH07/networksecurity initialized!
[ 2026-02-21 19:24:07,017 ] 19 root - INFO - Initiate the data ingestion
[ 2026-02-21 19:24:10,838 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-02-21 19:24:10,838 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-21 19:24:10,839 ] 73 root - INFO - Exporting train and test file path.
[ 2026-02-21 19:24:10,900 ] 82 root - INFO - Exported train and test file path.
[ 2026-02-21 19:24:10,901 ] 21 root - INFO - Data Ingestion Completed.
[ 2026-02-21 19:24:10,911 ] 25 root - INFO - Initiate the data validation
[ 2026-02-21 19:24:10,972 ] 33 root - INFO - Required number of columns:2
[ 2026-02-21 19:24:10,972 ] 34 root - INFO - Dataframe has columns:31
[ 2026-02-21 19:24:10,972 ] 33 root - INFO - Required number of columns:2
[ 2026-02-21 19:24:10,972 ] 34 root - INFO - Dataframe has columns:31
[ 2026-02-21 19:24:11,144 ] 27 root - INFO - Data Validation Completed
[ 2026-02-21 19:24:11,144 ] 30 root - INFO - Data Transformation started
[ 2026-02-21 19:24:11,144 ] 51 root - INFO - Entered inititiate_data_transformation method of DataTransformation class
[ 2026-02-21 19:24:11,145 ] 53 root - INFO - Starting data transformation
[ 2026-02-21 19:24:11,171 ] 37 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-02-21 19:24:11,171 ] 42 root - INFO - Initialise KNN Imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-21 19:24:11,193 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-21 19:24:11,196 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-21 19:24:11,197 ] 34 root - INFO - Data Transformation Completed
[ 2026-02-21 19:24:11,197 ] 36 root - INFO - Model Training stared
[ 2026-02-21 19:29:42,079 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-21 19:29:42,147 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-21 19:29:42,147 ] 115 root - INFO - Model trainer artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_21_2026_19_23_40\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915983399129467, precision_score=0.9880976397014323, recall_score=0.9951239333604226), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9696485623003195, precision_score=0.9566587864460205, recall_score=0.982995951417004))
[ 2026-02-21 19:29:42,151 ] 41 root - INFO - Model Training artifact created
